Customer_Name,Age,Annual_Income,Credit_Score,Employment_Status,Debt_to_Income_Ratio,Loan_Amount,Loan_Term_Months,Past_Loans,Defaults,Marital_Status,Education_Level,Risk_Flag
Sneha Mishra,39,234450,652,Business,0.41,111942,12,0,1,Married,Undergraduate,0
Suresh Sharma,25,882849,746,Government,0.18,348026,24,6,0,Single,Graduate,0
Sneha Mane,33,655439,686,Salaried,0.46,153989,12,3,1,Married,Undergraduate,1
Karan Shinde,27,400839,600,Business,0.18,83960,60,4,3,Married,Graduate,1
Ankita Jadhav,26,762003,787,Salaried,0.5,380846,60,4,0,Married,Postgraduate,1
Nisha Tripathi,46,312182,752,Salaried,0.57,96127,48,6,0,Married,Graduate,1
Manoj Mishra,24,241620,733,Self-employed,0.46,73681,24,2,0,Single,Undergraduate,1
Tanvi Kulkarni,50,293431,652,Business,0.52,141759,60,0,0,Single,Graduate,1
Rajesh Saxena,47,562833,650,Business,0.21,160720,36,1,1,Single,Graduate,0
Aditya Sawant,24,570460,722,Salaried,0.28,222038,36,4,0,Married,Postgraduate,0
Rajesh Malhotra,35,385243,618,Salaried,0.14,79239,12,3,1,Married,Postgraduate,1
Ajay Pawar,21,558387,700,Government,0.22,233501,36,2,0,Married,Graduate,0
Harsh Yadav,37,691179,642,Salaried,0.29,95960,60,6,3,Married,Graduate,1
Aditya Patel,41,337483,749,Self-employed,0.28,105375,36,7,0,Single,Postgraduate,0
Arjun Pawar,25,856403,642,Business,0.23,260514,72,5,1,Single,Graduate,1
Divya Mane,31,622198,734,Unemployed,0.13,107700,72,3,0,Single,Postgraduate,1
Aditya Sawant,21,430936,637,Salaried,0.38,127401,24,7,3,Single,Postgraduate,1
Kavita Thakur,35,319895,720,Self-employed,0.37,59479,48,7,1,Single,Undergraduate,0
Sakshi Pawar,53,694974,633,Unemployed,0.4,309824,48,1,1,Single,Undergraduate,1
Deepak Pandey,33,340650,559,Self-employed,0.37,46009,24,5,3,Single,Graduate,1
Nisha Nair,47,352756,635,Salaried,0.37,48495,24,4,1,Single,Graduate,1
Swati Gupta,43,244809,732,Salaried,0.55,58729,36,7,0,Married,Graduate,1
Neha Deshmukh,21,643040,768,Salaried,0.14,136051,48,5,0,Single,Undergraduate,0
Aditya Chatterjee,47,252397,638,Salaried,0.26,42684,24,3,3,Single,Postgraduate,1
Komal Mane,47,375910,619,Salaried,0.54,157719,60,1,1,Married,Postgraduate,1
Arjun More,30,370757,614,Salaried,0.13,170281,36,3,1,Married,Undergraduate,1
Komal Reddy,41,450625,796,Unemployed,0.52,170051,60,4,0,Married,Graduate,1
Komal Kulkarni,49,309868,688,Self-employed,0.4,135011,36,6,0,Single,Undergraduate,0
Karan Saxena,28,473602,630,Salaried,0.11,207525,36,5,3,Single,Postgraduate,1
Meena Reddy,31,227991,630,Salaried,0.12,106067,36,5,3,Single,Undergraduate,1
Amit Sharma,39,320713,642,Salaried,0.4,86779,24,5,2,Single,Undergraduate,1
Sakshi Dubey,29,254959,845,Salaried,0.2,102415,48,1,0,Single,Undergraduate,0
Sunil Pandey,37,1253189,687,Government,0.33,533823,48,3,1,Single,Graduate,0
Sanjay Iyer,27,528972,659,Self-employed,0.19,120602,24,2,1,Single,Undergraduate,0
Sakshi Mane,39,257826,600,Self-employed,0.15,67237,72,5,1,Married,Undergraduate,1
Isha More,42,200000,700,Salaried,0.31,62300,12,2,0,Single,Undergraduate,0
Nisha Sharma,24,1243092,661,Business,0.31,148729,72,7,1,Single,Graduate,0
Arjun Thakur,41,467018,676,Business,0.3,119041,72,6,1,Married,Undergraduate,0
Arjun Mane,33,916808,718,Business,0.3,407693,24,0,1,Single,Undergraduate,0
Anjali Yadav,34,308601,694,Salaried,0.17,61021,12,2,0,Single,Postgraduate,0
Aditya Kapoor,29,222298,586,Government,0.56,108454,72,7,1,Married,Graduate,1
Vivek Singh,21,420095,644,Salaried,0.38,111938,60,4,2,Married,Graduate,1
Arjun Gupta,21,513976,640,Salaried,0.6,251834,36,3,3,Married,Postgraduate,1
Asha Nair,42,654815,684,Self-employed,0.38,270450,60,6,0,Single,Postgraduate,0
Nitin Chatterjee,21,341550,624,Salaried,0.58,150237,24,1,1,Married,Undergraduate,1
Mahesh Chavan,34,267017,727,Business,0.21,36088,24,6,0,Married,Undergraduate,0
Karan Malhotra,26,219751,576,Salaried,0.32,93636,24,5,2,Single,Postgraduate,1
Sanjay Kadam,29,392283,537,Business,0.15,134638,24,6,3,Single,Graduate,1
Sunil Singh,44,1007507,682,Self-employed,0.24,315133,12,0,0,Married,Graduate,0
Shruti Mishra,40,200000,567,Business,0.51,79289,24,0,2,Married,Undergraduate,1
Preeti Deshmukh,39,605200,562,Salaried,0.23,99541,12,1,2,Single,Graduate,1
Neha Deshmukh,36,476193,682,Business,0.25,87728,36,0,1,Single,Undergraduate,0
Asha Gupta,43,336925,781,Government,0.33,107006,60,3,0,Single,Graduate,0
Vivek Choudhary,33,695765,648,Salaried,0.44,256821,36,1,1,Married,Postgraduate,1
Vivek Tripathi,33,616768,700,Salaried,0.53,290990,36,6,0,Married,Postgraduate,1
Sakshi Sawant,31,951892,538,Government,0.25,244755,36,3,2,Single,Graduate,1
Meena Bhosale,37,507602,710,Salaried,0.2,175132,60,3,0,Married,Graduate,0
Manoj Pandey,22,315090,597,Self-employed,0.19,117273,72,5,1,Married,Postgraduate,1
Nisha Yadav,24,324631,635,Self-employed,0.51,92992,48,6,3,Single,Postgraduate,1
Varun Kadam,35,325322,661,Business,0.44,136819,12,7,0,Single,Undergraduate,0
Aditya Malhotra,36,548391,614,Business,0.39,127409,24,4,1,Married,Graduate,1
Arjun Kapoor,41,459599,660,Self-employed,0.2,194301,36,0,1,Married,Graduate,0
Asha Thakur,38,200000,555,Self-employed,0.18,70815,24,4,3,Married,Undergraduate,1
Mahesh Shinde,43,455266,624,Business,0.33,138826,24,7,1,Married,Graduate,1
Deepak Thakur,29,538023,589,Salaried,0.25,131848,72,1,2,Married,Undergraduate,1
Shruti Malhotra,39,1035014,800,Self-employed,0.4,449050,48,1,0,Married,Undergraduate,0
Ankita Dubey,45,319620,528,Business,0.26,90422,72,2,2,Single,Graduate,1
Asha Dubey,41,419796,606,Self-employed,0.4,197733,24,5,3,Single,Graduate,1
Priya Patel,48,306552,764,Salaried,0.58,102822,72,4,0,Married,Postgraduate,1
Sakshi Mane,26,200000,646,Self-employed,0.14,71626,60,0,2,Married,Graduate,1
Komal Deshmukh,29,213173,729,Unemployed,0.22,52121,12,2,0,Married,Undergraduate,1
Aditya Tripathi,41,270402,701,Salaried,0.26,53030,60,1,0,Married,Graduate,0
Asha Tripathi,51,360488,656,Self-employed,0.37,160860,48,7,0,Married,Undergraduate,0
Sanjay Tripathi,44,538789,580,Salaried,0.58,266446,12,6,1,Single,Postgraduate,1
Deepak Iyer,41,527970,540,Business,0.6,239097,12,3,3,Single,Graduate,1
Ajay Verma,25,295103,668,Salaried,0.28,125145,12,2,1,Married,Postgraduate,0
Asha Tripathi,22,300360,650,Government,0.44,93097,72,0,2,Married,Undergraduate,1
Suresh Chavan,34,635032,660,Business,0.11,196675,72,1,1,Married,Graduate,0
Karan Saxena,40,200000,634,Salaried,0.17,94233,48,7,3,Single,Postgraduate,1
Varun Chatterjee,29,234760,690,Business,0.49,48450,12,0,0,Married,Graduate,1
Asha Patel,25,379747,660,Self-employed,0.21,140730,60,4,0,Single,Postgraduate,0
Deepak Jadhav,42,588576,737,Salaried,0.59,80171,12,5,0,Married,Undergraduate,1
Suresh Kadam,21,1160237,662,Government,0.5,234930,72,1,0,Single,Undergraduate,1
Kavita Dubey,35,308348,723,Government,0.55,47576,12,2,0,Single,Postgraduate,1
Vikram Sawant,34,356031,755,Salaried,0.41,130147,24,2,0,Married,Postgraduate,0
Rahul Patil,42,484068,631,Business,0.42,237953,60,3,1,Single,Undergraduate,1
Amit Verma,47,272418,729,Salaried,0.47,102680,72,6,0,Single,Graduate,1
Anjali Jadhav,44,482851,679,Government,0.16,72179,48,1,0,Single,Graduate,0
Divya Nair,21,468092,724,Salaried,0.39,142498,60,6,0,Single,Undergraduate,0
Isha Shinde,51,200000,675,Salaried,0.14,44078,72,3,0,Married,Graduate,0
Radhika Pawar,21,655962,743,Salaried,0.49,205824,12,5,0,Single,Graduate,1
Aditya Sawant,28,902384,839,Self-employed,0.58,205611,36,4,0,Married,Postgraduate,1
Kavita Tripathi,53,331114,671,Unemployed,0.18,68518,72,4,1,Married,Graduate,1
Karan Menon,34,712490,682,Business,0.28,95296,36,2,1,Married,Undergraduate,0
Asha Kapoor,35,369618,702,Business,0.57,41394,36,7,1,Married,Undergraduate,1
Suresh Iyer,48,296102,773,Government,0.41,96171,72,4,0,Married,Graduate,0
Radhika Gupta,46,883212,565,Salaried,0.31,307982,24,1,1,Married,Graduate,1
Arjun Verma,35,556369,781,Self-employed,0.21,103862,24,6,0,Single,Undergraduate,0
Sunil Bhosale,41,368856,770,Salaried,0.11,111542,72,5,0,Single,Undergraduate,0
Pooja Mane,35,534456,666,Salaried,0.32,224475,36,7,0,Single,Graduate,0
Sakshi Pawar,56,418032,699,Business,0.21,153923,72,3,0,Married,Undergraduate,0
Swati Deshmukh,28,2492390,616,Salaried,0.34,1003659,72,1,2,Married,Undergraduate,1
Divya Gupta,44,902146,692,Business,0.27,111573,24,6,1,Single,Postgraduate,0
Pooja Mishra,43,334797,572,Self-employed,0.12,119305,60,1,1,Single,Graduate,1
Varun Yadav,45,1883359,708,Salaried,0.27,625515,72,0,1,Married,Undergraduate,0
Ajay Malhotra,48,525665,613,Business,0.18,95577,24,6,1,Married,Undergraduate,1
Aditya Joshi,32,252947,734,Salaried,0.18,69727,12,5,0,Married,Graduate,0
Sunil Verma,47,525255,737,Business,0.35,154925,24,4,0,Married,Undergraduate,0
Meena Mishra,27,449519,672,Salaried,0.28,130812,24,0,1,Married,Postgraduate,0
Priya Bhosale,44,849146,830,Self-employed,0.25,232600,24,5,0,Single,Postgraduate,0
Sakshi Singh,48,426766,624,Salaried,0.17,92446,48,7,1,Single,Postgraduate,1
Rahul Chavan,21,786814,775,Self-employed,0.22,124699,60,4,0,Married,Postgraduate,0
Rajesh Deshmukh,44,269192,668,Self-employed,0.56,72074,72,2,1,Married,Undergraduate,1
Komal Sharma,42,980870,709,Self-employed,0.45,474363,36,0,0,Married,Graduate,0
Sneha Menon,34,476991,675,Salaried,0.14,54292,36,3,1,Married,Graduate,0
Nitin Menon,49,430120,578,Government,0.29,133258,60,7,3,Single,Graduate,1
Nisha Malhotra,21,688540,627,Salaried,0.19,234832,12,4,2,Single,Undergraduate,1
Deepak Singh,28,745458,781,Self-employed,0.48,114327,72,3,0,Married,Postgraduate,1
Deepak Bhosale,45,1135029,616,Salaried,0.2,419530,12,3,2,Single,Postgraduate,1
Pooja Dubey,38,960557,673,Salaried,0.45,118601,36,3,1,Married,Graduate,0
Deepak Reddy,29,200000,513,Salaried,0.32,64890,60,3,1,Married,Postgraduate,1
Amit Patil,37,356603,691,Salaried,0.32,124261,72,2,0,Single,Postgraduate,0
Tanvi Mehta,21,480826,567,Self-employed,0.32,216002,12,1,1,Single,Graduate,1
Riya Reddy,34,233923,697,Government,0.11,56531,24,6,1,Married,Graduate,0
Meena Malhotra,33,442279,751,Salaried,0.11,103245,24,2,0,Single,Undergraduate,0
Preeti Iyer,47,784582,653,Salaried,0.56,273619,60,5,1,Single,Undergraduate,1
Asha Menon,30,964430,850,Salaried,0.57,346453,36,4,0,Single,Postgraduate,1
Preeti Kulkarni,33,913479,609,Salaried,0.16,389054,60,1,3,Single,Undergraduate,1
Mahesh Kulkarni,29,251472,661,Business,0.54,36258,36,5,1,Married,Graduate,1
Asha Deshmukh,39,409958,604,Government,0.51,180551,36,4,2,Single,Undergraduate,1
Ankita More,44,234907,677,Business,0.52,62018,72,5,1,Single,Graduate,1
Meena Chatterjee,21,398489,653,Government,0.46,67699,48,0,0,Single,Postgraduate,1
Vivek Tripathi,28,234704,650,Salaried,0.39,53882,24,6,1,Single,Undergraduate,0
Isha Dubey,43,200000,482,Salaried,0.28,77801,48,5,1,Single,Graduate,1
Neha Verma,37,264470,678,Self-employed,0.58,34681,36,3,1,Married,Postgraduate,1
Pooja Verma,28,468206,648,Salaried,0.39,99896,48,2,1,Single,Graduate,1
Rahul Malhotra,33,351097,531,Salaried,0.26,115697,24,1,1,Married,Postgraduate,1
Tanvi Sharma,35,571369,657,Business,0.46,172516,72,1,1,Married,Postgraduate,1
Sneha Reddy,43,416553,647,Salaried,0.13,71648,36,1,2,Single,Postgraduate,1
Vivek Verma,31,448414,771,Government,0.2,197603,24,1,0,Single,Graduate,0
Harsh Pandey,35,770983,741,Salaried,0.25,267997,36,3,0,Single,Postgraduate,0
Rohit Saxena,35,484983,699,Self-employed,0.43,211010,24,6,1,Married,Undergraduate,0
Sneha Patil,47,238233,750,Business,0.49,28913,72,5,0,Single,Graduate,1
Rahul Malhotra,53,333715,758,Self-employed,0.58,156667,48,0,0,Married,Graduate,1
Ajay Menon,43,304838,725,Unemployed,0.58,137948,72,0,0,Single,Postgraduate,1
Meena Singh,34,207172,721,Business,0.43,53190,36,3,0,Married,Graduate,0
Nisha Mishra,43,349090,723,Salaried,0.3,142758,48,4,0,Single,Graduate,0
Karan Tripathi,33,456930,754,Salaried,0.36,114838,12,4,0,Single,Undergraduate,0
Pooja Kapoor,36,387671,561,Business,0.2,72035,12,1,2,Married,Graduate,1
Kavita Iyer,21,200000,754,Self-employed,0.38,63745,36,3,0,Married,Graduate,0
Ankit Joshi,48,613399,761,Self-employed,0.16,120612,72,2,0,Single,Graduate,0
Suresh Joshi,25,472182,766,Salaried,0.28,218302,60,1,0,Single,Graduate,0
Rahul Tripathi,43,1739193,570,Salaried,0.18,310735,48,4,2,Married,Postgraduate,1
Priya Mehta,29,352169,678,Business,0.57,140847,12,2,1,Married,Postgraduate,1
Rajesh Patel,52,242757,675,Salaried,0.46,38742,60,7,1,Single,Undergraduate,1
Priya Saxena,21,1159253,674,Salaried,0.38,214241,48,4,1,Single,Undergraduate,0
Varun Reddy,24,454482,595,Government,0.22,129941,60,0,1,Single,Graduate,1
Aditya Jadhav,47,839222,514,Salaried,0.44,390956,36,6,1,Single,Graduate,1
Ankit Kulkarni,59,200000,646,Government,0.4,77122,72,2,2,Married,Undergraduate,1
Sunil Sharma,26,200000,739,Business,0.48,49762,36,2,0,Married,Undergraduate,1
Priya Singh,37,618510,687,Salaried,0.47,261338,60,4,1,Married,Graduate,1
Aditya Bhosale,37,200000,543,Salaried,0.11,94972,24,6,2,Single,Undergraduate,1
Sanjay Yadav,56,257383,707,Salaried,0.39,80750,72,5,1,Single,Postgraduate,0
Anjali Nair,36,317874,721,Self-employed,0.48,133514,48,1,0,Single,Undergraduate,1
Tanvi Choudhary,22,402021,748,Salaried,0.13,119903,60,5,0,Married,Undergraduate,0
Harsh Kadam,37,392032,658,Business,0.33,122305,36,0,0,Single,Graduate,0
Meena Malhotra,29,474290,824,Self-employed,0.34,134931,60,5,0,Single,Postgraduate,0
Amit More,41,405917,500,Business,0.45,116178,60,2,3,Single,Graduate,1
Nisha Reddy,44,1392716,625,Business,0.35,148786,48,6,3,Single,Undergraduate,1
Rajesh Joshi,41,536855,644,Salaried,0.29,154192,36,2,1,Married,Graduate,1
Kavita Joshi,45,664213,788,Salaried,0.3,322778,24,7,0,Single,Postgraduate,0
Rajesh Verma,44,379499,634,Salaried,0.27,117982,36,2,2,Married,Undergraduate,1
Swati Patel,39,361263,723,Salaried,0.35,76048,72,2,0,Married,Postgraduate,0
Kavita Chavan,21,494494,654,Salaried,0.13,188378,48,1,1,Single,Undergraduate,0
Neha Yadav,51,586775,561,Unemployed,0.25,292754,12,0,2,Single,Postgraduate,1
Nisha Jadhav,39,344609,736,Government,0.49,81759,60,3,0,Married,Undergraduate,1
Kavita Gupta,27,423267,784,Salaried,0.12,116990,72,6,0,Married,Graduate,0
Varun Choudhary,35,322090,772,Business,0.17,68057,72,6,0,Single,Graduate,0
Amit Chavan,27,245799,665,Government,0.15,50808,48,3,1,Single,Undergraduate,0
Meena Dubey,35,742544,603,Salaried,0.3,368586,36,4,3,Married,Undergraduate,1
Nitin More,24,200000,677,Business,0.48,87298,36,5,0,Single,Undergraduate,1
Preeti Reddy,53,433812,792,Salaried,0.14,94922,60,0,0,Married,Undergraduate,0
Kavita Bhosale,40,669575,796,Business,0.48,265870,72,1,0,Single,Graduate,1
Sakshi Chavan,41,325129,591,Business,0.31,33192,72,3,3,Single,Undergraduate,1
Ankit Shinde,45,238895,537,Government,0.59,98457,72,0,1,Single,Undergraduate,1
Komal Thakur,33,216788,644,Salaried,0.37,39412,36,0,1,Married,Undergraduate,1
Meena Joshi,29,584194,703,Self-employed,0.3,212261,72,3,0,Married,Undergraduate,0
Mahesh Mane,45,819469,655,Salaried,0.1,158635,24,1,0,Married,Undergraduate,0
Ajay Iyer,27,571371,563,Business,0.36,65393,24,3,2,Single,Postgraduate,1
Sakshi Kulkarni,22,488491,635,Salaried,0.5,225736,72,0,3,Single,Graduate,1
Karan Dubey,35,303867,751,Salaried,0.22,49746,36,7,0,Single,Postgraduate,0
Radhika Mehta,36,495055,721,Business,0.11,147597,24,0,0,Single,Graduate,0
Manoj Singh,44,245303,677,Salaried,0.12,56273,36,6,1,Single,Graduate,0
Manoj Pandey,21,400953,642,Government,0.19,140729,36,0,1,Single,Undergraduate,1
Vikram Iyer,35,269509,712,Salaried,0.42,67772,48,5,0,Married,Undergraduate,0
Anjali Malhotra,21,243591,693,Salaried,0.58,89952,72,1,1,Single,Postgraduate,1
Ankit Deshmukh,30,508042,631,Business,0.14,230581,36,5,1,Single,Graduate,1
Isha Chatterjee,40,264749,707,Salaried,0.36,98213,48,7,0,Single,Graduate,0
Divya Chavan,26,390201,534,Self-employed,0.28,110805,60,6,2,Married,Undergraduate,1
Nisha Bhosale,44,960241,764,Self-employed,0.23,391975,24,5,0,Single,Undergraduate,0
Shruti More,27,598289,698,Self-employed,0.21,206635,36,2,1,Single,Postgraduate,0
Meena Bhosale,51,773861,628,Salaried,0.47,322138,12,7,2,Single,Postgraduate,1
Ankita Kadam,21,932212,702,Salaried,0.26,250114,60,6,0,Single,Graduate,0
Vikram Pawar,44,527558,597,Salaried,0.22,132560,72,7,1,Married,Graduate,1
Nisha Patel,38,948850,684,Unemployed,0.59,325272,48,2,0,Single,Undergraduate,1
Tanvi Jadhav,47,406032,703,Government,0.28,148605,48,4,1,Single,Undergraduate,0
Swati Nair,38,833867,676,Salaried,0.24,294956,24,0,0,Married,Undergraduate,0
Varun Iyer,39,262698,601,Salaried,0.21,121831,72,7,2,Single,Undergraduate,1
Ankit Reddy,29,1366469,650,Government,0.3,660656,36,1,2,Single,Postgraduate,1
Priya Nair,28,429315,714,Self-employed,0.17,147868,12,1,0,Single,Graduate,0
Swati Chatterjee,24,776763,716,Self-employed,0.2,312811,48,4,0,Single,Undergraduate,0
Swati Pandey,31,503229,676,Business,0.42,112855,36,4,1,Married,Postgraduate,0
Nitin Reddy,40,405037,620,Salaried,0.44,169352,24,0,1,Married,Undergraduate,1
Swati Iyer,23,593874,544,Salaried,0.21,73028,48,6,2,Married,Postgraduate,1
Amit Sawant,21,200000,711,Salaried,0.33,83568,60,6,1,Single,Graduate,0
Sunil Pawar,51,388848,723,Salaried,0.12,62088,36,5,0,Married,Postgraduate,0
Tanvi Saxena,30,269759,639,Unemployed,0.13,71260,72,4,1,Married,Graduate,1
Nisha Joshi,22,1245693,660,Business,0.32,436602,48,2,1,Married,Postgraduate,0
Asha Iyer,37,805798,765,Salaried,0.54,268802,72,3,0,Married,Undergraduate,1
Rahul Chavan,53,477491,660,Salaried,0.29,217086,48,2,1,Single,Undergraduate,0
Sunil Joshi,37,330077,719,Business,0.26,70573,24,2,0,Single,Undergraduate,0
Varun Pawar,45,559975,657,Business,0.12,81235,36,0,1,Married,Undergraduate,0
Meena Reddy,47,672453,603,Self-employed,0.31,130317,48,7,1,Single,Graduate,1
Nitin Shinde,24,475173,751,Salaried,0.35,94820,12,5,0,Single,Undergraduate,0
Arjun Chavan,34,377488,756,Salaried,0.57,139322,60,7,0,Single,Graduate,1
Anjali Yadav,28,279813,625,Salaried,0.14,111838,24,4,1,Single,Undergraduate,1
Radhika Singh,34,263383,755,Business,0.53,63297,24,5,0,Married,Undergraduate,1
Pooja More,25,497261,638,Self-employed,0.15,227817,72,5,2,Married,Undergraduate,1
Neha Mishra,36,316778,724,Salaried,0.3,89974,12,0,0,Single,Postgraduate,0
Manoj Tripathi,40,296848,635,Self-employed,0.22,93308,36,1,1,Married,Undergraduate,1
Sneha Mehta,42,475430,581,Salaried,0.59,228149,24,5,3,Married,Graduate,1
Rajesh More,50,200000,601,Salaried,0.49,53601,72,2,3,Single,Undergraduate,1
Komal Sawant,49,411976,618,Self-employed,0.14,178653,24,6,1,Married,Undergraduate,1
Preeti Nair,53,431852,748,Salaried,0.36,94911,72,3,0,Single,Postgraduate,0
Vivek Mane,35,484020,760,Salaried,0.26,147112,24,2,0,Married,Postgraduate,0
Mahesh Verma,36,306052,675,Salaried,0.17,97157,12,2,0,Married,Postgraduate,0
Nitin Kapoor,44,370645,697,Salaried,0.14,61892,72,6,0,Single,Graduate,0
Neha Pawar,22,332584,725,Salaried,0.24,45102,60,2,0,Married,Undergraduate,0
Anjali Jadhav,30,231850,520,Government,0.11,40438,12,1,2,Single,Undergraduate,1
Nisha Menon,21,470517,732,Salaried,0.11,87558,12,3,0,Single,Postgraduate,0
Arjun Kadam,24,208650,657,Self-employed,0.55,27188,72,4,1,Married,Graduate,1
Vivek Tripathi,39,445655,740,Self-employed,0.36,146786,36,1,0,Married,Postgraduate,0
Kavita Singh,42,326910,706,Government,0.41,160947,24,1,1,Married,Graduate,0
Preeti Pawar,36,364804,681,Salaried,0.57,99365,36,4,1,Married,Undergraduate,1
Amit Joshi,41,404186,673,Salaried,0.33,116225,24,7,0,Single,Graduate,0
Swati Deshmukh,30,694906,613,Business,0.27,141909,36,1,2,Single,Postgraduate,1
Sneha Joshi,46,401714,626,Salaried,0.33,185599,24,4,2,Single,Graduate,1
Mahesh Mane,32,628856,726,Salaried,0.55,83235,36,1,0,Married,Graduate,1
Rohit Mehta,52,230775,794,Government,0.39,54709,72,4,0,Married,Postgraduate,0
Nisha Thakur,32,295105,702,Business,0.43,59803,48,0,0,Single,Undergraduate,0
Sanjay Tripathi,38,336178,616,Salaried,0.59,56355,60,1,1,Single,Graduate,1
Nitin Reddy,30,1370616,608,Salaried,0.13,655448,12,6,1,Married,Undergraduate,1
Deepak Reddy,39,616940,518,Salaried,0.3,74446,60,5,3,Single,Graduate,1
Ankita Mishra,21,611566,743,Self-employed,0.39,148544,60,0,0,Single,Undergraduate,0
Ankita Singh,47,568665,715,Business,0.53,120852,48,1,1,Single,Graduate,1
Kavita Kadam,36,698096,578,Government,0.22,331812,72,1,1,Married,Undergraduate,1
Arjun Verma,49,421886,685,Salaried,0.12,80667,48,1,1,Married,Graduate,0
Meena Thakur,32,506246,692,Business,0.28,175773,48,1,0,Married,Undergraduate,0
Radhika Patil,30,395580,670,Government,0.28,57814,12,5,1,Married,Graduate,0
Meena Menon,39,200000,643,Unemployed,0.51,88305,12,1,2,Married,Undergraduate,1
Manoj Malhotra,21,320602,850,Business,0.38,127909,72,0,0,Single,Postgraduate,0
Komal Pawar,42,315407,850,Salaried,0.27,39934,72,2,0,Single,Postgraduate,0
Neha Reddy,36,453740,701,Government,0.39,107353,60,0,0,Married,Postgraduate,0
Sunil Choudhary,30,722278,638,Salaried,0.42,138170,60,0,3,Married,Graduate,1
Vikram Sharma,40,324109,689,Business,0.47,42828,72,1,1,Married,Undergraduate,1
Pooja Yadav,36,442281,743,Salaried,0.48,133438,60,3,0,Married,Postgraduate,1
Komal Reddy,23,376307,695,Business,0.3,49203,72,2,1,Married,Graduate,0
Nisha Joshi,62,698048,842,Government,0.17,154362,60,2,0,Married,Undergraduate,0
Meena Deshmukh,26,234010,577,Business,0.46,104075,48,3,1,Married,Undergraduate,1
Rajesh Patil,47,403818,629,Self-employed,0.39,149130,48,1,2,Single,Graduate,1
Sunil Gupta,21,253367,722,Self-employed,0.49,52007,24,5,0,Single,Postgraduate,1
Amit Chatterjee,37,200000,702,Business,0.56,35750,24,0,1,Married,Graduate,1
Pooja Pandey,45,396516,850,Business,0.59,155694,60,7,0,Married,Graduate,1
Anjali Mehta,27,203242,766,Self-employed,0.47,80902,12,3,0,Single,Graduate,1
Nisha Mishra,34,329958,613,Salaried,0.34,136015,72,0,3,Single,Postgraduate,1
Shruti Iyer,35,299398,676,Government,0.59,94753,36,0,0,Married,Postgraduate,1
Radhika Mehta,36,385026,648,Salaried,0.46,112537,12,1,3,Single,Graduate,1
Rajesh Malhotra,32,405324,773,Salaried,0.17,95439,60,7,0,Married,Undergraduate,0
Nisha Kadam,36,381601,662,Salaried,0.54,42135,60,5,1,Married,Postgraduate,1
Pooja Shinde,41,788176,662,Salaried,0.32,343486,24,0,0,Married,Postgraduate,0
Rohit Pandey,37,355805,626,Salaried,0.33,147641,12,2,2,Single,Postgraduate,1
Deepak Tripathi,35,301589,614,Self-employed,0.5,147623,72,4,3,Married,Graduate,1
Deepak Kulkarni,38,279819,635,Salaried,0.14,131860,72,5,1,Single,Postgraduate,1
Komal Bhosale,54,800994,648,Salaried,0.55,242877,60,0,3,Single,Postgraduate,1
Ajay Deshmukh,40,517253,653,Government,0.15,139121,36,6,1,Married,Graduate,0
Pooja Menon,36,381693,735,Government,0.39,39672,48,1,0,Single,Graduate,0
Divya Patil,23,520658,607,Salaried,0.43,84590,60,6,3,Single,Postgraduate,1
Preeti Jadhav,45,330773,850,Government,0.54,60060,36,4,0,Single,Undergraduate,1
Harsh Mane,43,1011013,754,Business,0.28,483726,12,1,0,Married,Graduate,0
Shruti Chavan,45,264190,743,Salaried,0.33,109192,36,5,0,Married,Undergraduate,0
Mahesh Mishra,54,643447,654,Salaried,0.2,208535,36,6,0,Married,Postgraduate,0
Varun Pandey,33,200000,657,Self-employed,0.47,51621,36,0,0,Single,Postgraduate,1
Sakshi Kapoor,21,323406,747,Government,0.14,124941,48,3,0,Married,Undergraduate,0
Vivek Tripathi,28,781436,632,Salaried,0.15,90665,48,6,1,Married,Undergraduate,1
Sanjay Shinde,40,582344,637,Self-employed,0.35,132708,72,0,1,Single,Postgraduate,1
Mahesh More,43,224090,705,Salaried,0.54,108190,36,1,1,Single,Graduate,1
Mahesh Reddy,41,341237,802,Salaried,0.33,130633,12,5,0,Married,Postgraduate,0
Ajay Menon,40,334254,685,Business,0.52,80268,24,0,1,Single,Undergraduate,1
Kavita Yadav,43,272825,753,Salaried,0.13,73899,72,3,0,Single,Undergraduate,0
Vikram Tripathi,22,480868,508,Government,0.53,177324,24,7,2,Married,Postgraduate,1
Karan Mehta,41,325912,516,Self-employed,0.48,158378,72,4,2,Single,Postgraduate,1
Preeti Patel,41,226520,603,Business,0.42,88276,36,4,2,Married,Undergraduate,1
Amit Joshi,21,221228,850,Government,0.26,83547,12,2,0,Single,Postgraduate,0
Sunil Iyer,54,634714,699,Government,0.24,270990,12,3,0,Married,Postgraduate,0
Anjali Jadhav,34,845475,621,Salaried,0.27,224805,24,0,2,Married,Graduate,1
Amit Gupta,42,200000,685,Salaried,0.55,95554,48,5,0,Married,Graduate,1
Isha Reddy,47,354220,538,Self-employed,0.36,144688,36,4,3,Single,Graduate,1
Sunil Kadam,44,599242,704,Salaried,0.21,254363,24,7,1,Married,Undergraduate,0
Arjun Nair,21,480438,573,Self-employed,0.43,203486,24,4,3,Married,Graduate,1
Aditya Shinde,39,522497,664,Business,0.33,183678,36,0,1,Married,Postgraduate,0
